College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Apps_transformed,Accept_transformed,Enroll_transformed,Top10perc_transformed,F.Undergrad_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,PhD_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_transformed_scaled,Accept_transformed_scaled,Enroll_transformed_scaled,Top10perc_transformed_scaled,F.Undergrad_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,PhD_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,5.737286442317482,5.68591843498575,3.9513642111872325,5.316571396825102,3.677685628324002,5.804394946023685,78.68494690345229,9.442351022087843,8.162552350641706,3736.5073126492257,53942.39364317825,5.561395109609361,8.66494745865426,1.8313681829409998,5.737286442317482,5.68591843498575,3.9513642111872325,5.316571396825102,3.677685628324002,5.804394946023685,78.68494690345229,9.442351022087843,8.162552350641706,3736.5073126492257,53942.39364317825,5.561395109609361,8.66494745865426,1.8313681829409998,0.8227482678983834,High,2,1,0.06757799441907153,0.18791038995419446,0.05625345047371651,0.7305835658560428,-0.012629969739564912,-0.6715325760288845,1.408847795869445,-0.22914901677242944,-1.4016694654541817,0.5551825236557095,0.5120879513281108,-0.6792077728800088,0.7420738947418721,0.6391344042892935,0.5157537502634537,1.8150779933081982,0.6125530498969481
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,5.979253120681851,5.8566194302577586,3.9608933391236683,5.668515457022506,3.6642379470469897,4.50259850987007,79.57532562455164,8.96107520321098,8.162552350641706,2962.9344405957,58884.14428434742,5.075820123969052,10.12852980378421,1.8318032668425615,5.979253120681851,5.8566194302577586,3.9608933391236683,5.668515457022506,3.6642379470469897,4.50259850987007,79.57532562455164,8.96107520321098,8.162552350641706,2962.9344405957,58884.14428434742,5.075820123969052,10.12852980378421,1.8318032668425615,0.7164404223227753,High,2,1,0.4592060535400196,0.4737286093265102,0.0829998160861375,1.0350695150852658,-0.08486911648070146,-1.1742007602630395,1.5045134067783403,-1.0388011424180428,-1.4016694654541817,-0.09292516745590934,0.781503315639944,-1.0758964274030898,1.3638859589907049,0.7928387205687742,-0.20738347780626848,1.8150779933081982,0.6125530498969481
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,5.512282925364637,5.3170721065160995,3.759012588758249,5.369882157677974,3.580160693454433,8.634663282533355,65.0020796087627,9.845917647123215,8.993154813797165,2005.1172269621243,47766.80550904597,6.215398629296292,6.929932557777247,1.8291196022450664,5.512282925364637,5.3170721065160995,3.759012588758249,5.369882157677974,3.580160693454433,8.634663282533355,65.0020796087627,9.845917647123215,8.993154813797165,2005.1172269621243,47766.80550904597,6.215398629296292,6.929932557777247,1.8291196022450664,0.6615776081424937,Mid,1,1,-0.2965948381183774,-0.4296782811441906,-0.4836392714989347,0.7767056047201572,-0.5365208871280956,0.4213309517069193,-0.06129050338777985,0.4497726389260374,-0.3813083118461038,-0.8953947540471879,0.17540598418550252,-0.1449220622273889,0.004942020606680277,-0.15523320441133603,-0.5805764736347528,0.3581403891754813,0.6125530498969481
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,5.55487690600638,5.518163595245784,3.872656779925376,5.668515457022506,3.6105311272287923,3.9046923679129257,71.34594620144502,8.96107520321098,7.525479560116736,3468.58928429813,52354.631663757325,6.830893399583299,8.821390068071972,1.8302838153081626,5.55487690600638,5.518163595245784,3.872656779925376,5.668515457022506,3.6105311272287923,3.9046923679129257,71.34594620144502,8.96107520321098,7.525479560116736,3468.58928429813,52354.631663757325,6.830893399583299,8.821390068071972,1.8302838153081626,0.8524072612470402,Mid,1,1,-0.22765560201479393,-0.09297484747023868,-0.1646626445757431,1.0350695150852658,-0.37337497544083403,-1.4050727970678636,0.6203181859620271,-1.0388011424180428,-2.184287331771188,0.3307179114196808,0.4255260215207906,0.3579040707316264,0.808539510579746,0.2560543018019544,0.7175029449852314,0.3581403891754813,0.6125530498969481
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,4.979607741427173,4.728244700361986,3.4954607807750144,4.417175042264962,3.612261592217936,9.816770038153567,61.62775095923531,10.026082431745259,10.527619138442942,729.7656344596887,28587.693255152724,5.493547832248623,7.840523349237043,1.82929677215507,4.979607741427173,4.728244700361986,3.4954607807750144,4.417175042264962,3.612261592217936,9.816770038153567,61.62775095923531,10.026082431745259,10.527619138442942,729.7656344596887,28587.693255152724,5.493547832248623,7.840523349237043,1.82929677215507,0.6336032388663968,Low,0,1,-1.1587406089223402,-1.415598723356076,-1.2233767439261074,-0.04753313995778422,-0.36407914876959574,0.8777828514941316,-0.42384095974398683,0.7528645357434074,1.5037183500275915,-1.9638980661890433,-0.870204749794732,-0.7346353504225267,0.3918121831278882,-0.09264348370542107,-0.7708663600093951,-1.0987972149572356,0.6125530498969481
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,5.621878692453915,5.525471275554533,3.6433856612653157,2.91344153033716,3.5576568634096173,7.293196152876924,62.53768586686851,9.213393432273651,9.557721089085858,3381.5199008967597,47766.80550904597,6.649854000037834,6.5349533390638825,1.8285211019418426,5.621878692453915,5.525471275554533,3.6433856612653157,2.91344153033716,3.5576568634096173,7.293196152876924,62.53768586686851,9.213393432273651,9.557721089085858,3381.5199008967597,47766.80550904597,6.649854000037834,6.5349533390638825,1.8285211019418426,0.7697183098591549,Low,0,1,-0.11921182884132073,-0.08073901855629047,-0.8081810446807128,-1.348494791392716,-0.6574084548327211,-0.09665544581816274,-0.3260741592092893,-0.6143252338289236,0.3122382660840021,0.2577702434217395,0.17540598418550252,0.21000461555961872,-0.16286735762255852,-0.36666846912669654,0.15502838090331927,-1.0987972149572356,0.6125530498969481
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,6.245000217856317,5.466079360949692,3.9047244394638128,7.074111471998457,3.650674749612595,1.936960832026999,83.80364176334255,10.060656850163479,9.78355056110801,3127.017536070735,71483.10904926102,4.524550448850612,12.796448758485933,1.8349981987888249,6.245000217856317,5.466079360949692,3.9047244394638128,7.074111471998457,3.650674749612595,1.936960832026999,83.80364176334255,10.060656850163479,9.78355056110801,3127.017536070735,71483.10904926102,4.524550448850612,12.796448758485933,1.8349981987888249,0.23059042305904232,High,2,1,0.8893232109394398,-0.18018361318456771,-0.07465510641790439,2.2511270800650833,-0.15772880058231023,-2.1648813283667963,1.9588194643556514,0.8110292102757778,0.5896605358372503,0.044545418704219096,1.4683762334705521,-1.5262541109104928,2.4973679239732567,1.9215286780626208,-3.512278049067009,1.8150779933081982,0.6125530498969481
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,5.530594029402722,5.411532234466771,3.9093276069479255,4.08228841706668,3.676528462937909,7.258987502247967,65.97422438079604,9.65214536925229,9.15165023999676,1287.7609688263303,20740.590958343037,5.828139320813687,5.444039108195632,1.8291714195372164,5.530594029402722,5.411532234466771,3.9093276069479255,4.08228841706668,3.676528462937909,7.258987502247967,65.97422438079604,9.65214536925229,9.15165023999676,1287.7609688263303,20740.590958343037,5.828139320813687,5.444039108195632,1.8291714195372164,0.7467105263157895,Mid,1,1,-0.26695793859455924,-0.27151619468698834,-0.06173493142114209,-0.337261774390416,-0.018846107556024245,-0.10986457730692725,0.043160357020957926,0.12378880488361321,-0.18660316336359328,-1.4964035600187222,-1.2980146652677276,-0.4612920948206636,-0.6263490551654358,-0.13692744445841787,-0.0014773287692968597,0.3581403891754813,0.6125530498969481
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,5.487060870024503,5.252781096346868,3.8015667639471995,3.5777357214550345,3.6498035885708076,7.500868736897167,65.73012262483817,10.777792596683675,9.4579757327094,2140.223695713882,25461.318422189914,5.628767251036452,6.329553707860191,1.8313540218192033,5.487060870024503,5.252781096346868,3.8015667639471995,3.5777357214550345,3.6498035885708076,7.500868736897167,65.73012262483817,10.777792596683675,9.4579757327094,2140.223695713882,25461.318422189914,5.628767251036452,6.329553707860191,1.8313540218192033,0.6230088495575221,Mid,1,1,-0.337417254852237,-0.5373258201578683,-0.36419817095638113,-0.7737777547234982,-0.16240856128131098,-0.016465949345803112,0.01693315386092406,2.0174693819460012,0.18970517544918392,-0.7822010981159766,-1.0406490873905974,-0.6241683558478293,-0.2501326687269887,0.6341316323281305,-0.8429325116318768,0.3581403891754813,0.6125530498969481
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,6.13904007725694,5.886989423793615,4.226289649039598,4.493818501377219,3.8229821082139788,10.192713053008815,51.69318601621696,9.442351022087843,10.171715522398618,2005.1172269621243,21636.86172344196,8.967103676820505,2.8030175863665034,1.8227868770359859,6.13904007725694,5.886989423793615,4.226289649039598,4.493818501377219,3.8229821082139788,10.192713053008815,51.69318601621696,9.442351022087843,10.171715522398618,2005.1172269621243,21636.86172344196,8.967103676820505,2.8030175863665034,1.8227868770359859,0.5652542372881356,Low,0,0,0.7178245381154568,0.5245794989826329,0.8279144383421037,0.018775285270126344,0.7678833035549765,1.0229473237607476,-1.4912476731641928,-0.22914901677242944,1.0665053144911143,-0.8953947540471879,-1.2491515938109201,2.1030730059438842,-1.7484034784636024,-2.392427444312699,-1.2357963684675608,-1.0987972149572356,-1.6325116659989423
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,5.2083952294191915,5.213030297681666,3.700832935038268,4.568038251472815,3.4765693871042576,3.6540351864371625,76.8319649770696,8.96107520321098,9.15165023999676,2648.1614235052466,44852.305090025206,5.561395109609361,9.276119865145814,1.8375865495572163,5.2083952294191915,5.213030297681666,3.700832935038268,4.568038251472815,3.4765693871042576,3.6540351864371625,76.8319649770696,8.96107520321098,9.15165023999676,2648.1614235052466,44852.305090025206,5.561395109609361,9.276119865145814,1.8375865495572163,0.9270687237026648,High,2,1,-0.7884433412194426,-0.6038837360915813,-0.6469379804656546,0.08298682799864276,-1.0929995414317568,-1.501860118632481,1.2097565060734918,-1.0388011424180428,-0.18660316336359328,-0.3566453943418077,0.01651265888576715,-0.6792077728800088,1.0017342937327451,2.8359285989034007,1.2253721686672496,1.8150779933081982,0.6125530498969481
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,6.525806073950463,6.367914190852439,4.42931820059207,4.170730633321285,3.948843464667547,9.493902748598007,57.252308000128146,6.191629779936293,10.171715522398618,3828.050899130615,67728.00439442915,7.695934006011985,5.444039108195632,1.8265812239390007,6.525806073950463,6.367914190852439,4.42931820059207,4.170730633321285,3.948843464667547,9.493902748598007,57.252308000128146,6.191629779936293,10.171715522398618,3828.050899130615,67728.00439442915,7.695934006011985,5.444039108195632,1.8265812239390007,0.6377683577191303,Low,0,0,1.343813280213956,1.3298299918327967,1.3977751754216614,-0.26074560260699386,1.4439936909590871,0.7531127343527558,-0.8939548716793383,-5.697849625357854,1.0665053144911143,0.6318787272247831,1.263654675854437,1.0645957340584027,-0.6263490551654358,-1.0519790977714143,-0.7425339967163727,-1.0987972149572356,-1.6325116659989423
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,5.120962646245315,5.055157644154013,3.64143786160303,4.170730633321285,3.6016040575183976,8.957445419198537,68.477911896096,8.679599645871866,9.80171182251483,1686.8014102927957,24468.81775259251,6.023602095364745,7.666103609271758,1.8276099313797314,5.120962646245315,5.055157644154013,3.64143786160303,4.170730633321285,3.6016040575183976,8.957445419198537,68.477911896096,8.679599645871866,9.80171182251483,1686.8014102927957,24468.81775259251,6.023602095364745,7.666103609271758,1.8276099313797314,0.8336025848142165,Mid,1,1,-0.9299547802480593,-0.8682224451128951,-0.8136481306779576,-0.26074560260699386,-0.421330000957384,0.5459681884012452,0.31216588242301735,-1.5123285343587667,0.6119709026638089,-1.162083176610684,-1.0947584403093151,-0.3016095177954872,0.31770887154146105,-0.6885623561691819,0.5895880059066398,0.3581403891754813,0.6125530498969481
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,6.810783120206798,6.793427279865482,4.626115600808437,4.493818501377219,4.048251079332218,13.435429980305537,59.101262942346644,10.194537490294326,10.256967870813972,4302.5631252927,62329.492559452454,7.861769460596532,2.8030175863665034,1.8242587355325803,6.810783120206798,6.793427279865482,4.626115600808437,4.493818501377219,4.048251079332218,13.435429980305537,59.101262942346644,10.194537490294326,10.256967870813972,4302.5631252927,62329.492559452454,7.861769460596532,2.8030175863665034,1.8242587355325803,0.8047466625029276,Low,0,0,1.8050545067903165,2.0423003159074957,1.9501463108363524,0.018775285270126344,1.9779981126152577,2.275071376769951,-0.6952962560826422,1.0362571162148249,1.1712343376226138,1.029430185416124,0.9693375120855497,1.2000743836939878,-1.7484034784636024,-1.8724564615501094,0.39330153654403927,-1.0987972149572356,-1.6325116659989423
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,5.2040641188583585,4.771337353876599,3.520420616669605,5.760943417605722,3.4046836465902226,6.569877266572251,62.39289443336804,9.442351022087843,8.626435575433408,3468.58928429813,53942.39364317825,5.991285805830951,7.488071014907595,1.8330845382699539,5.2040641188583585,4.771337353876599,3.520420616669605,5.760943417605722,3.4046836465902226,6.569877266572251,62.39289443336804,9.442351022087843,8.626435575433408,3468.58928429813,53942.39364317825,5.991285805830951,7.488071014907595,1.8330845382699539,0.4717514124293785,Low,0,1,-0.7954533329846024,-1.3434452747136214,-1.153319452123974,1.1150339710778354,-1.4791601330324486,-0.3759536379958345,-0.341631090896846,-0.22914901677242944,-0.8318078970334455,0.3307179114196808,0.5120879513281108,-0.3280101887390996,0.24207061628816592,1.2454800341382144,-1.871830079986632,-1.0987972149572356,0.6125530498969481
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,5.737952131534663,5.801035562310894,4.2038473592773755,3.3372059894156245,3.798390842355281,9.318112309993346,44.79472371012818,9.213393432273651,8.993154813797165,1810.795332056283,19867.773742812482,8.052536594781495,2.8030175863665034,1.8245583478216536,5.737952131534663,5.801035562310894,4.2038473592773755,3.3372059894156245,3.798390842355281,9.318112309993346,44.79472371012818,9.213393432273651,8.993154813797165,1810.795332056283,19867.773742812482,8.052536594781495,2.8030175863665034,1.8245583478216536,0.9971164936562861,Low,0,0,0.06865542614588838,0.3806601293385439,0.7649233974867117,-0.9818731086748947,0.6357823096123657,0.6852340260347194,-2.232444194605243,-0.6143252338289236,-0.3813083118461038,-1.0581997323364798,-1.3455990913496088,1.3559208750186327,-1.7484034784636024,-1.766610895038358,1.7018576991796808,-1.0987972149572356,-1.6325116659989423
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,5.857038159137714,5.7910276484456205,3.966326917412548,4.417175042264962,3.664351995323581,8.7688316531558,70.16942043070692,9.442351022087843,7.873683591318896,4805.090244554321,62329.492559452454,6.372586736365998,8.50587730878895,1.8282366841881825,5.857038159137714,5.7910276484456205,3.966326917412548,4.417175042264962,3.664351995323581,8.7688316531558,70.16942043070692,9.442351022087843,7.873683591318896,4805.090244554321,62329.492559452454,6.372586736365998,8.50587730878895,1.8282366841881825,0.7962529274004684,Mid,1,1,0.26139861778642,0.3639030851511576,0.09825078894194458,-0.04753313995778422,-0.0842564643796792,0.47313795422238897,0.4939078687110157,-0.22914901677242944,-1.756532921293452,1.4504528230391855,0.9693375120855497,-0.01650783055462927,0.6744919519989533,-0.46714618436082295,0.3355246525831801,0.3581403891754813,0.6125530498969481
